date,expected_GGR,was_interpolated,actual_GGR,is_missing,deviation,deviation_pct,day_of_week,is_weekend,is_anomaly,anomaly_score
2025-04-14,314608224.0,0,327859315.81299996,0,13251091.812999964,4.2119343367832505,Monday,0,0,0.33679178087707246
2025-04-15,498328288.0,0,463357747.1359999,0,-34970540.86400008,-7.0175708877277465,Tuesday,0,0,0.33592867574384694
2025-04-16,1351252992.0,0,1417364031.314,0,66111039.31399989,4.892573019664395,Wednesday,0,0,0.34019717188215515
2025-04-17,1829486080.0,0,2098802397.6400008,0,269316317.6400008,14.720872740392801,Thursday,0,0,0.40255888498090636
2025-04-18,1575096704.0,0,1613739526.8819995,0,38642822.88199949,2.4533619290717206,Friday,0,0,0.3397310366360723
2025-04-19,2647078144.0,0,2832761625.6530004,0,185683481.65300035,7.014658107992763,Saturday,1,0,0.429069946681585
2025-04-20,2165014528.0,0,2313315298.171,0,148300770.171,6.849874134932364,Sunday,1,0,0.4167335155032725
2025-04-21,59621196.0,0,-190018265.5749995,0,-249639461.5749995,-418.70924825962817,Monday,0,0,0.4597503495915515
2025-04-22,1054798784.0,0,1278975484.117,0,224176700.1170001,21.25302982118342,Tuesday,0,0,0.3792347734648172
2025-04-23,1286777344.0,0,1215365853.399,0,-71411490.60100007,-5.54963847739303,Wednesday,0,0,0.3419419140943678
2025-04-24,801225088.0,0,897731142.2799996,0,96506054.27999961,12.044811841937682,Thursday,0,0,0.34584417200641676
2025-04-25,700238592.0,0,523783747.357,0,-176454844.643,-25.19924589403379,Friday,0,0,0.36838055318060775
2025-04-26,560196928.0,0,317017223.4660002,0,-243179704.5339998,-43.40968191350021,Saturday,1,0,0.4964698566511624
2025-04-27,1087299712.0,0,1063064748.3499995,0,-24234963.650000453,-2.22891290989328,Sunday,1,0,0.3919281188825585
2025-04-28,840336512.0,0,914670315.73,0,74333803.73000002,8.84571866966552,Monday,0,0,0.3378803566786956
2025-04-29,1047455744.0,0,1276971076.814,0,229515332.8139999,21.911697379932445,Tuesday,0,0,0.3834903261656601
2025-04-30,1096186880.0,0,1289480927.6449995,0,193294047.6449995,17.633311543101073,Wednesday,0,0,0.36936978452877434
2025-05-01,840042432.0,0,743696901.655,0,-96345530.34500003,-11.469126638712464,Thursday,0,0,0.3475726423493181
2025-05-02,1274875776.0,0,1390688469.5420003,0,115812693.5420003,9.08423359532092,Friday,0,0,0.3545018222201472
2025-05-03,-285746144.0,0,-801591811.9790001,0,-515845667.9790001,180.5258544377768,Saturday,1,1,0.6482437797792846
2025-05-04,-1313364992.0,0,-1732905989.4510005,0,-419540997.45100045,31.943975970618872,Sunday,1,0,0.5613742204155963
2025-05-05,-465275968.0,0,-440162986.09200007,0,25112981.907999933,-5.397438001354056,Monday,0,0,0.3655919110628765
2025-05-06,49981008.0,0,-33161580.126000237,0,-83142588.12600024,-166.34836201382782,Tuesday,0,0,0.38975247695929427
2025-05-07,775843200.0,0,763280153.6239998,0,-12563046.376000166,-1.619276469265976,Wednesday,0,0,0.33644597896636014
2025-05-08,-253331520.0,0,-714949456.614,0,-461617936.61399996,182.21891086194088,Thursday,0,0,0.5065481447516339
2025-05-09,556770496.0,0,723163000.0499995,0,166392504.04999948,29.885294792991235,Friday,0,0,0.3790607001909724
2025-05-10,2437251072.0,0,2488659325.4160004,0,51408253.416000366,2.109271958338495,Saturday,1,0,0.4046476360860705
2025-05-11,1518635520.0,0,1592908997.8049998,0,74273477.80499983,4.890803410485212,Sunday,1,0,0.3979720677376264
2025-05-12,746146432.0,0,710924945.0430001,0,-35221486.9569999,-4.720452373214578,Monday,0,0,0.3371707914670252
2025-05-13,1004638528.0,0,1094900481.391,0,90261953.39100003,8.984520389705782,Tuesday,0,0,0.34366081311997376
2025-05-14,1179080320.0,0,1225967362.5460002,0,46887042.54600024,3.97657748591718,Wednesday,0,0,0.33691764052326906
2025-05-15,817828800.0,0,686215723.8529999,0,-131613076.14700007,-16.09298622731311,Thursday,0,0,0.35997603488422
2025-05-16,821264128.0,0,735264899.7669998,0,-85999228.23300016,-10.471567587206264,Friday,0,0,0.34711961806754676
2025-05-17,1334516096.0,0,1562698291.0239997,0,228182195.0239997,17.098497028843607,Saturday,1,0,0.4538156313141425
2025-05-18,1695561216.0,0,1808287983.2679996,0,112726767.26799965,6.648345468406824,Sunday,1,0,0.40366306616155967
2025-05-19,311963392.0,0,367311166.1000001,0,55347774.10000008,17.741752884902624,Monday,0,0,0.343669807696521
2025-05-20,-179211040.0,0,-685432928.4609996,0,-506221888.4609996,282.4724907913037,Tuesday,0,0,0.5643278622075842
2025-05-21,951980160.0,0,1226934356.338,0,274954196.33800006,28.882345230598087,Wednesday,0,0,0.39998074601762745
2025-05-22,1046832064.0,0,1063057281.034,0,16225217.03400004,1.5499350461240782,Thursday,0,0,0.33405146789286294
2025-05-23,744257664.0,0,563601233.3129997,0,-180656430.68700027,-24.273371901347364,Friday,0,0,0.36872444121391984
2025-05-24,1550649984.0,0,1543072715.791999,0,-7577268.208000898,-0.4886511002602183,Saturday,1,0,0.38994293727229434
2025-05-25,425153760.0,0,379458438.0630001,0,-45695321.93699992,-10.74795197318728,Sunday,1,0,0.4158390615989879
2025-05-26,728421184.0,0,917007195.7209998,0,188586011.72099984,25.889693471764797,Monday,0,0,0.3774893188657954
2025-05-27,758452672.0,0,727946605.9539999,0,-30506066.046000123,-4.022144976502914,Tuesday,0,0,0.33663403000571157
2025-05-28,499647040.0,0,401751044.553,0,-97895995.44700003,-19.593030201279692,Wednesday,0,0,0.351123390809679
2025-05-29,723480448.0,0,691068084.7170002,0,-32412363.282999754,-4.4800607082887955,Thursday,0,0,0.3350136848945908
2025-05-30,759863296.0,0,748446514.2870003,0,-11416781.712999701,-1.5024783764525589,Friday,0,0,0.33645137862590224
2025-05-31,900558848.0,0,883507807.2479998,0,-17051040.752000213,-1.8933844012379537,Saturday,1,0,0.3948509155411817
2025-06-01,439331296.0,0,215380766.7010001,0,-223950529.2989999,-50.97531893084164,Sunday,1,0,0.4858794266274665
2025-06-02,307340832.0,0,656852184.1840001,0,349511352.18400013,113.72109260900294,Monday,0,0,0.4769702760573866
2025-06-03,713853888.0,0,649138909.4760001,0,-64714978.52399993,-9.06557764997421,Tuesday,0,0,0.33957306075800575
2025-06-04,648339648.0,0,721848554.8199999,0,73508906.81999993,11.338024297412694,Wednesday,0,0,0.3388361060307875
2025-06-05,902573312.0,0,829386781.3200002,0,-73186530.67999983,-8.108652195557033,Thursday,0,0,0.3401124774753614
2025-06-06,1117289216.0,0,1478315852.62,0,361026636.6199999,32.31272900963897,Friday,0,0,0.4319507208087637
2025-06-07,1083562496.0,0,1056545301.37,0,-27017194.629999995,-2.4933674550138725,Saturday,1,0,0.3920452066043223
2025-06-08,646130304.0,0,793796227.0899998,0,147665923.0899998,22.853892191071072,Sunday,1,0,0.4407893080798758
2025-06-09,350249536.0,0,176744386.90000007,0,-173505149.09999993,-49.537581428801644,Monday,0,0,0.3702854373146998
2025-06-10,178304160.0,0,34427132.93000004,0,-143877027.06999996,-80.6919070592632,Tuesday,0,0,0.3762013167313944
2025-06-11,523447328.0,0,677417323.7800001,0,153969995.7800001,29.41461108766995,Wednesday,0,0,0.36953174784823395
2025-06-12,-60063972.0,0,-190993294.88,0,-130929322.88,217.98312452596375,Thursday,0,0,0.4169779938408404
2025-06-13,21140224.0,0,-187723486.78999972,0,-208863710.78999972,-987.9919474363172,Friday,0,0,0.530588832055542
2025-06-14,907354688.0,0,986029901.54,0,78675213.53999996,8.670833421648664,Saturday,1,0,0.4029425293875637
2025-06-15,1001521088.0,0,1148818000.9100003,0,147296912.91000032,14.707320162788257,Sunday,1,0,0.4184302435872245
2025-06-16,85303688.0,0,-98546310.79999974,0,-183849998.79999974,-215.5240917602528,Monday,0,0,0.40784539669179354
2025-06-17,843554560.0,0,984287341.3400002,0,140732781.34000015,16.683305148632016,Tuesday,0,0,0.35941513565892663
2025-06-18,808732480.0,0,880832737.8399999,0,72100257.83999991,8.91521728421244,Wednesday,0,0,0.33670480689965476
2025-06-19,782584128.0,0,825929113.4899999,0,43344985.48999989,5.53869979458616,Thursday,0,0,0.33589410783346213
2025-06-20,1234315520.0,0,1314811684.6599998,0,80496164.65999985,6.521522524483841,Friday,0,0,0.34175143217135284
2025-06-21,609493184.0,0,905702784.43,0,296209600.42999995,48.59932944385477,Saturday,1,0,0.5181834075706003
2025-06-22,500237376.0,0,277337752.5400001,0,-222899623.45999992,-44.55877032666986,Sunday,1,0,0.48092607668951065
2025-06-23,480433696.0,0,692857005.6599997,0,212423309.65999973,44.21490653727996,Monday,0,0,0.3990507411644136
2025-06-24,630870848.0,0,628678686.3199999,0,-2192161.6800000668,-0.3474818478218963,Tuesday,0,0,0.33345799691889155
