operator,no_of_bets,game_type,stake_real_money,stake_free_money,movement_wager_amt,movement_win_amt,is_weekend
OP_0005,2966.0,RRI_slot,11229705.76,0.0,34230623.74,30216186.980000004,0
OP_0006,1279569.0,CTG_multi,4111558909.27,0.0,21569192635.88,15958056984.062,0
OP_0007,33883.0,RRI_roulette,105653764.0,43373.0,1763140178.0,1608368195.0,0
OP_0001,56.0,RRI_sports,5765248.0,0.0,6685888.0,2818744.0,0
OP_0009,122.0,RRI_sports,241000.0,0.0,0.0,0.0,0
OP_0002,9485.0,CTG_multi,25297159.0,0.0,27519320.0,13698977.82,0
OP_0010,824.0,CTG_virtualSports,787926.76,0.0,128405872.2,54483982.84,0
OP_0003,2115.0,RRI_sports,577593.0,3000.0,1258954.0,367887.66,0
OP_0004,811.0,CTG_multi,10915769.32,0.0,79646485.64,62924569.080000006,0
OP_0005,1956.0,RRI_slot,1454263.88,0.0,19865843.020000003,15222876.799999995,0
OP_0006,908028.0,CTG_multi,3510001150.45,0.0,22127519545.800003,13134718528.82,0
OP_0007,13919.0,RRI_roulette,72276994.0,15200.0,1574217403.0,1411222726.0,0
OP_0001,78.0,RRI_sports,4204153.0,0.0,4936533.0,3066157.0,0
OP_0009,86.0,RRI_sports,230000.0,0.0,0.0,0.0,0
OP_0002,8307.0,CTG_multi,23148181.0,0.0,26340371.0,24383316.19,0
OP_0003,1701.0,RRI_sports,512022.0,100.0,1468128.0,1024508.58,0
OP_0004,807.0,CTG_multi,18391581.04,0.0,115251077.84,114242503.3,0
OP_0005,1620.0,RRI_slot,1583957.45,0.0,8542001.0,6430307.7,0
OP_0006,1215702.0,CTG_multi,4646351816.81,0.0,11950908697.89,7730820457.206,0
OP_0007,31397.0,RRI_roulette,163498443.0,54404.0,3681347958.0,3437744798.0,0
OP_0001,32.0,RRI_sports,4133282.0,0.0,8399130.0,7133582.0,0
OP_0009,57.0,RRI_sports,137000.0,0.0,0.0,0.0,0
OP_0002,10654.0,CTG_multi,27817857.0,0.0,30398660.0,22544198.41,0
OP_0003,2471.0,RRI_sports,625815.0,4914.0,1648662.0,993078.52,0
OP_0004,1147.0,CTG_multi,14890635.53,0.0,99784303.26,94215744.96,0
OP_0005,1639.0,RRI_slot,1045163.96,0.0,5228357.19,3119472.3499999996,0
OP_0006,1091040.0,CTG_multi,4302420544.92,0.0,12109273987.3,8474439336.311999,0
OP_0007,18517.0,RRI_roulette,98981062.0,143407.0,3600542652.0,3289783474.0,0
OP_0001,87.0,RRI_sports,6167471.0,0.0,12889062.0,4451264.0,0
OP_0009,69.0,RRI_sports,359500.0,0.0,0.0,0.0,0
OP_0002,15764.0,CTG_multi,41971869.0,0.0,91238768.0,79466912.5,1
OP_0003,5201.0,RRI_sports,989840.0,52200.0,1103840.0,288120.94,1
OP_0004,1599.0,CTG_multi,23539934.55,0.0,107431392.66,83434853.08,1
OP_0005,1836.0,RRI_slot,1197240.41,0.0,11238473.32,7177176.24,1
OP_0006,1777058.0,CTG_multi,7195216585.02,0.0,33993592046.560005,27876963749.869995,1
OP_0007,22103.0,RRI_roulette,99988273.0,83670.0,4196472174.0,3990866824.0,1
OP_0001,132.0,RRI_sports,7040425.0,0.0,14104344.0,10036942.0,1
