operator,tier,payout_base_win,predicted_payout,regression_r2,deviation_pct,anomaly_score_if,payout_z_score,no_of_bets,stake_real_money,stake_free_money,refund_total,adjustment_total,revenue_amt,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,game_type,is_weekend,anomaly_flagged_by
OP_0007,noise,217369870.0,160713384.86641645,1.0,0.35253121686582556,-0.5260554534235916,0.8910770695562725,30298.0,215174323.0,123301.0,0.0,0.0,-2195547.0,2647893749.0,2488145101.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,180927905.0,91607425.2052026,1.0,0.9750353707105905,-0.5551718353897689,0.23055241721511602,39249.0,191112396.0,492384.0,0.0,0.0,10184491.0,2736959127.0,2500374513.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,271129402.0,265475506.54810554,1.0,0.02129723952846078,-0.5575715185545791,1.865489294152923,53247.0,276553427.0,374794.0,0.0,0.0,5424025.0,5092115949.0,4883693575.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,323451426.0,379081849.9076884,1.0,0.1467504284925146,-0.5442256681861001,2.813846132550239,43561.0,347013843.0,326845.0,0.0,0.0,23562417.0,10561054754.0,9833655604.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,275667089.0,388879474.9666564,1.0,0.2911246112342739,-0.5464172965567768,1.9477366188542113,45411.0,292830629.0,416390.0,0.0,0.0,17163540.0,10951918484.0,10430927826.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,390719225.0,584983402.002614,1.0,0.3320849383718855,-0.666345176247982,4.033100899636201,49122.0,372979836.0,229685.0,0.0,0.0,-17739389.0,10666798546.0,10500541524.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,303287015.0,320529342.6307544,1.0,0.053793289217260044,-0.5592159301847072,2.448358416247367,48670.0,331670117.0,439915.0,0.0,0.0,28383102.0,5110180783.0,4900561747.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,251560337.0,453334770.0951532,1.0,0.44508925060568716,-0.5707998831166201,1.5107924534154247,57978.0,281453537.0,296744.0,0.0,0.0,29893200.0,11085743348.0,10893783070.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,320231177.0,514849483.6089944,1.0,0.3780101035447449,-0.636402442234406,2.7554778790497223,56831.0,369374282.0,407036.0,0.0,0.0,49143105.0,10137536458.0,9952987244.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,219079210.0,192820955.5759449,1.0,0.13617946423729324,-0.5662582684530708,0.9220595154598574,48073.0,234664960.0,324165.0,0.0,0.0,15585750.0,13250906466.0,11989757070.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,257680481.0,359326183.8651107,1.0,0.2828786418283061,-0.5343669338540277,1.6217224207725036,56285.0,294660124.0,352239.0,0.0,0.0,36979643.0,10480988004.0,9957827392.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,245222888.0,455851602.6350385,1.0,0.4620554439591846,-0.5944293385533125,1.3959237492318053,55550.0,277259260.0,481342.0,0.0,0.0,32036372.0,11203706572.0,11036539736.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,317566729.0,409468107.9893885,1.0,0.22444087145309538,-0.5911356815603395,2.707183732757636,59132.0,343368387.0,264350.0,0.0,0.0,25801658.0,10204298384.0,9678770610.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,263637043.0,316232245.96891797,1.0,0.16631827917412154,-0.606502116891007,1.7296874013710675,59554.0,297805274.0,572049.0,0.0,0.0,34168231.0,10090286566.0,9460182584.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,237159324.0,219670757.0560332,1.0,0.07961263109548011,-0.5527761807168334,1.2497685458082064,51430.0,271665911.0,506580.0,0.0,0.0,34506587.0,4829182827.0,4566683090.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,273333896.0,237963306.69659096,1.0,0.1486388376192276,-0.5278710553344335,1.9054465970299266,54692.0,301359689.0,329563.0,0.0,0.0,28025793.0,4097949834.0,3831275093.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,294881754.0,307797852.4529942,1.0,0.041962925829596966,-0.5429509500903025,2.296009823083917,44662.0,307058337.0,306085.0,0.0,0.0,12176583.0,10045488966.0,9275752118.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,257475211.0,397543061.82089627,1.0,0.3523337828594794,-0.5427834009644138,1.6180018229566044,48927.0,302127798.0,334708.0,0.0,0.0,44652587.0,9105863024.0,8871237464.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,311955380.0,251309352.44590855,1.0,0.24132021734903325,-0.5356954781104644,2.6054758707532164,42837.0,338210088.0,360670.0,0.0,0.0,26254708.0,7527519486.0,6730438196.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,263347320.0,192772410.251616,1.0,0.36610482618475415,-0.5301041971055047,1.7244360604005617,50489.0,284639542.0,431222.0,0.0,0.0,21292222.0,8978942780.0,8043338856.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,266222874.0,318466846.5012584,1.0,0.16404838706201696,-0.5274734819423934,1.7765565842564575,50363.0,273465075.0,278111.0,0.0,0.0,7242201.0,9012001250.0,8539121632.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,270195176.0,222899671.8560204,1.0,0.21218292404902966,-0.5522423452454488,1.8485560880577503,53009.0,282959090.0,297856.0,0.0,0.0,12763914.0,3975723642.0,3725086958.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,303738469.0,325075908.6871472,1.0,0.06563832974679873,-0.526587000443408,2.4565411938884196,47509.0,301869800.0,265756.0,0.0,0.0,-1868669.0,4879287468.0,4758563273.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,287901274.0,288913737.0111571,1.0,0.0035043782328633157,-0.6224542245556373,2.1694859343426156,52025.0,347781816.0,386919.0,0.0,0.0,59880542.0,5112922766.0,4806570377.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,80970779.0,79611956.52586198,1.0,0.017068070343135046,-0.5350567112061441,-1.5812089930208901,24825.0,97097258.0,143805.0,0.0,0.0,16126479.0,8261138220.0,7664115490.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0009,zero,9124.0,1126.0987170360459,1.0,7.102309204307481,-0.5575660129561423,-0.5861212528145087,279.0,659400.0,0.0,0.0,0.0,650276.0,0.0,0.0,0.0,0.0,RRI_sports,1,isolation_forest
OP_0009,zero,960929.0,964155.0295052914,1.0,0.0033459655413991354,-0.5774848707223234,6.765045860677291,14.0,16500.0,0.0,0.0,0.0,-944429.0,0.0,0.0,0.0,0.0,RRI_sports,0,isolation_forest
OP_0009,zero,46398.0,49637.29432043666,1.0,0.0652592846726333,-0.5611116818628986,-0.29823938311610054,570.0,1045000.0,0.0,0.0,0.0,998602.0,0.0,0.0,0.0,0.0,RRI_sports,0,isolation_forest
OP_0009,zero,107888.0,99909.32840806477,1.0,0.07985912545971216,-0.6915778914304999,0.1766722487923374,946.0,1948800.0,0.0,0.0,0.0,1840912.0,0.0,0.0,0.0,0.0,RRI_sports,1,isolation_forest
OP_0009,zero,2250547.0,2242550.8266446074,1.0,0.003565659810420812,-0.7027399192281903,16.72527661231977,89.0,132500.0,0.0,0.0,0.0,-2118047.0,0.0,0.0,0.0,0.0,RRI_sports,1,isolation_forest
OP_0009,zero,190357.0,182376.8004486774,1.0,0.04375665946375849,-0.673274431433325,0.8136130094340185,909.0,2086500.0,0.0,0.0,0.0,1896143.0,0.0,0.0,0.0,0.0,RRI_sports,1,isolation_forest
OP_0009,zero,2993230.0,2985234.9694138328,1.0,0.002678191387975435,-0.7278235991513344,22.461311667136073,54.0,77000.0,0.0,0.0,0.0,-2916230.0,0.0,0.0,0.0,0.0,RRI_sports,1,isolation_forest
OP_0009,zero,13458.0,16698.858397840326,1.0,0.19407664408121864,-0.6303249674203454,-0.5526480537139855,648.0,1357000.0,0.0,0.0,0.0,1343542.0,0.0,0.0,0.0,0.0,RRI_sports,0,isolation_forest
